,timestamp,sog,cog
0,1657864798.3531418,7.2,327.2
1,1657864798.6228845,,
2,1657864799.353003,7.2,327.0
3,1657864799.622795,,
4,1657864800.3544369,7.2,327.3
5,1657864800.6242948,,
6,1657864801.3531897,7.2,327.4
7,1657864801.6229193,,
8,1657864802.3555164,7.2,327.4
9,1657864802.6252902,,
10,1657864803.3544521,7.2,327.5
11,1657864803.6241534,,
12,1657864804.3531084,7.2,327.1
13,1657864804.6228518,,
14,1657864805.3540065,7.2,327.1
15,1657864805.623822,,
16,1657864806.3529117,7.2,327.0
17,1657864806.622753,,
18,1657864807.35448,7.1,326.9
19,1657864807.6242294,,
20,1657864808.3550224,7.1,326.6
21,1657864808.624821,,
22,1657864809.3530097,7.2,326.6
23,1657864809.6226847,,
24,1657864810.3540251,7.2,326.5
25,1657864810.6238325,,
26,1657864811.3533835,7.2,326.6
27,1657864811.6231475,,
28,1657864812.352384,7.2,326.6
29,1657864812.6222105,,
30,1657864813.354391,7.2,326.6
31,1657864813.624207,,
32,1657864814.3543508,7.2,326.4
33,1657864814.6241145,,
34,1657864815.3565536,7.2,326.2
35,1657864815.626324,,
36,1657864816.3528438,7.1,325.9
37,1657864816.6225684,,
38,1657864817.3534684,7.2,325.4
39,1657864817.6233137,,
40,1657864818.3530023,7.2,324.4
41,1657864818.622785,,
42,1657864819.3532128,7.1,323.6
43,1657864819.6230197,,
44,1657864820.3541687,7.1,323.0
45,1657864820.6239192,,
46,1657864821.3534079,7.1,322.0
47,1657864821.6231458,,
48,1657864822.3554611,7.1,321.4
49,1657864822.6252463,,
50,1657864823.354243,7.1,320.6
51,1657864823.623999,,
52,1657864824.3528187,7.1,320.5
53,1657864824.6225955,,
54,1657864825.3544524,7.1,320.0
55,1657864825.624111,,
56,1657864826.353289,7.1,320.1
57,1657864826.6230285,,
58,1657864827.3552291,7.1,319.5
59,1657864827.6249027,,
60,1657864828.3553245,7.1,319.3
61,1657864828.6249955,,
62,1657864829.35432,7.1,318.9
63,1657864829.6240265,,
64,1657864830.3545098,7.1,318.7
65,1657864830.6241968,,
66,1657864831.352661,7.1,318.1
67,1657864831.622358,,
68,1657864832.3540213,7.1,317.8
69,1657864832.6237733,,
70,1657864833.3538136,7.0,317.4
71,1657864833.623543,,
72,1657864834.354099,7.0,317.1
73,1657864834.623841,,
74,1657864835.3543642,7.0,317.6
75,1657864835.6241186,,
76,1657864836.353433,7.0,317.8
77,1657864836.6232693,,
78,1657864837.3541894,7.0,318.2
79,1657864837.6238554,,
80,1657864838.3528526,7.0,318.4
81,1657864838.6226292,,
82,1657864839.3568704,7.1,318.5
83,1657864839.6265943,,
84,1657864840.3536649,7.1,318.5
85,1657864840.623407,,
86,1657864841.3584144,7.1,318.6
87,1657864841.628135,,
88,1657864842.354106,7.1,318.8
89,1657864842.6238947,,
90,1657864843.353334,7.1,318.9
91,1657864843.6231368,,
92,1657864844.355607,7.1,318.9
93,1657864844.6253316,,
94,1657864845.3534646,7.0,319.0
95,1657864845.6231778,,
96,1657864846.3533647,7.1,319.5
97,1657864846.623098,,
98,1657864847.35441,7.0,319.5
99,1657864847.6242268,,
100,1657864848.3554578,7.1,319.7
101,1657864848.6252277,,
102,1657864849.3543608,7.0,319.8
103,1657864849.6240857,,
104,1657864850.3566697,7.0,320.1
105,1657864850.6265357,,
106,1657864851.3532825,7.0,320.4
107,1657864851.6231034,,
108,1657864852.3566725,7.0,320.7
109,1657864852.6264722,,
110,1657864853.3526585,7.0,321.2
111,1657864853.6224096,,
112,1657864854.3566024,7.1,321.3
113,1657864854.6264415,,
114,1657864855.35371,7.0,321.6
115,1657864855.623332,,
116,1657864856.3545892,7.1,321.7
117,1657864856.6243799,,
118,1657864857.3566642,7.1,322.0
119,1657864857.6264188,,
120,1657864858.3542814,7.1,322.4
121,1657864858.6240072,,
122,1657864859.3565714,7.1,322.3
123,1657864859.6263142,,
124,1657864860.354376,7.1,322.7
125,1657864860.6242325,,
126,1657864861.358742,7.1,322.3
127,1657864861.6284957,,
128,1657864862.35446,7.1,322.4
129,1657864862.6243114,,
